teks,sumber,sentimen
"com selama 23 tahun lebih untuk menjadi media rujukan tepercaya bagi para pembaca,” ujar Wisnu di Jakarta, Kamis (1/8/2019)",Media (Kompas),neutral
"com yang didirikan pada 14 September 1995, penghargaan sebagai media online tepercaya merupakan penghargaan berturut-turut kedua setelah pada 2018 mendapat penghargaan yang sama",Media (Kompas),neutral
"com Sabet Penghargaan Berita Online Terpercaya dari Superbrands “Terima kasih pertama-tama untuk para pembaca,” ujar Wisnu Nugroho",Media (Kompas),neutral
"Dalam satu tahun terakhir, sebagai media online tepercaya, Kompas",Media (Kompas),neutral
com berperan dalam jaringan internasional penguji fakta (International Fact Checking Network/IFCN) untuk melawan hoaks dan mengungkapkan kebenaran dengan kerja-kerja jurnalistik,Media (Kompas),neutral
- -Puluhan media dan lembaga di seluruh dunia ada dalam upaya bersama memerangi hoaks dan terhubung dalam IFCN sejak 2017,Media (Kompas),neutral
"com Tersertifikasi dalam Jaringan Internasional Penguji Informasi Terkait pemberian penghargaan ini, CEO Superbrands Indonesia Grandtyana Mayasari mengatakan, penghargaan yang diraih para pemilik brand merupakan bukti pencapaian",Media (Kompas),neutral
"“Brand yang mendapat Superbrands Awards 2019 telah menjadi TOP of Mind yang mendapat tempat sangat spesial di mata para konsumen, melalui inovasi-inovasi yang dilakukan selama ini,” ujar Grandtyana",Media (Kompas),positive
Acara Gala Awards Superbrands Indonesia 2019 dihadiri sekitar 40 brand terkemuka di Indonesia yang mendapatkan status dan penghargaan berdasarkan penilaian yang dilakukan oleh Nielsen dengan 38 kategori penghargaan,Media (Kompas),neutral
com - Melonjaknya nilai tukar dolar Amerika Serikat (USD) yang resmi menembus level Rp 18,Media (Kompas),neutral
000 memicu reaksi dari para pelaku industri pariwisata di Pulau Dewata,Media (Kompas),neutral
"Ketua Perhimpunan Hotel dan Restoran Indonesia (PHRI) Bali, Tjokorda Oka Artha Ardhana Sukawati atau yang akrab disapa Cok Ace, menyatakan bahwa fenomena ekonomi ini bak dua sisi mata uang bagi sektor pariwisata Bali",Media (Kompas),neutral
"Di satu sisi, pelemahan nilai tukar rupiah ini menguntungkan daya beli wisatawan mancanegara (wisman)",Media (Kompas),neutral
"Namun di sisi lain, kondisi ini justru memperberat biaya operasional industri perhotelan dan restoran lokal",Media (Kompas),neutral
"Menurut Cok Ace, pergerakan nilai mata uang asing saat ini tidak boleh hanya dilihat dari kacamata ekonomi semata, melainkan harus mencermati situasi geopolitik global secara menyeluruh",Media (Kompas),neutral
"""Walaupun dolar naik, belum tentu juga wisatawannya nyaman juga untuk bepergian dalam situasi seperti sekarang",Media (Kompas),positive
"Kita lihat beberapa negara juga mengalami persoalan-persoalan,"" ujar Cok Ace saat ditemui di Denpasar, Jumat (5/6/2026)",Media (Kompas),neutral
"Baca juga: Mujib Pengusaha Tahu Terdampak Dolar AS: Rela Tak Untung, Usaha Bertahan Berkat Ampas Dari segi ekonomi makro pariwisata, melemahnya nilai tukar rupiah diakui memberikan keuntungan tersendiri bagi wisman",Media (Kompas),neutral
"Sebab, daya beli mereka di Bali menjadi jauh lebih tinggi saat mengonversi mata uang mereka",Media (Kompas),negative
"Kendati demikian, Cok Ace mengingatkan bahwa keuntungan tersebut tetap dibayangi oleh potensi kenaikan biaya tiket pesawat dan akomodasi perjalanan akibat inflasi global",Media (Kompas),neutral
"""Namun demikian secara ekonomi sesungguhnya ini membantu wisatawan untuk katakanlah untuk membelanjakan uangnya di Bali ini lebih banyak",Media (Kompas),neutral
"Tapi di satu sisi juga kita harus perhitungkan dengan naiknya agak atur, ini juga akan berpengaruh kepada biaya perjalanannya dia,"" tambahnya",Media (Kompas),neutral
"Meski situasi ekonomi global penuh tantangan, PHRI Bali mencatat arus kunjungan wisatawan mancanegara ke Bali masih menunjukkan tren positif jika dibandingkan dengan tahun lalu (year-on-year)",Media (Kompas),neutral
Baca juga: Rupiah Anjlok ke Rp 18,Media (Kompas),neutral
"000 Per Dolar AS, Pimpinan DPR Desak Purbaya dan BI Segera Konsolidasi Sebaliknya, tren penurunan justru terjadi pada sektor wisatawan domestik (wisdom)",Media (Kompas),neutral
Hal ini disebabkan oleh masyarakat lokal yang cenderung menahan pengeluaran akibat situasi ekonomi dalam negeri,Media (Kompas),neutral
"""Untuk wisman yang domestik memang kita tahu kita mengalami penurunan, karena kondisi kita juga semua menahan diri sekarang",Media (Kompas),negative
Tapi Wisman dalam situasi seperti sekarang masih menunjukkan angka peningkatan,Media (Kompas),neutral
Mudah-mudahan ini yang dikasih baik untuk kita di Bali,Media (Kompas),positive
"Wisatawan berasa nyaman dan harganya lebih terjangkau lagi untuk wisatawan ke Bali,"" jelas mantan Wakil Gubernur Bali tersebut",Media (Kompas),positive
"Jika wisatawan asing diuntungkan, kondisi sebaliknya justru dirasakan langsung oleh para pelaku usaha hotel dan restoran di Bali",Media (Kompas),neutral
Cok Ace blak-blakan menyebut melonjaknya nilai tukar dolar AS sangat tidak menguntungkan bagi kelangsungan industri pariwisata,Media (Kompas),negative
Faktor utamanya adalah ketergantungan sektor kuliner dan akomodasi pada bahan baku impor yang masih sangat tinggi,Media (Kompas),neutral
"""Tapi kami di industri terus terang dengan kenaikan ini sangat tidak menguntungkan",Media (Kompas),negative
"Karena sebagaimana kita ketahui, banyak masih ada produk-produk impor yang kita gunakan termasuk juga di restoran kita",Media (Kompas),neutral
"Steak masih banyak kedatangan di luar negeri, berapa hal kita juga datang di luar negeri, tentu pembayaran kita pakai US dolar",Media (Kompas),neutral
"Sedangkan yang kita terima di sini adalah rupiah,"" ungkapnya",Media (Kompas),neutral
Baca juga: Rupiah Tembus Rp 17,Media (Kompas),neutral
"688 per Dolar AS, Sektor Tambang Batu Bara Kaltim Mulai Tertekan Lonjakan Biaya Solar Kondisi ketidakseimbangan mata uang ini dipastikan akan memicu lonjakan biaya operasional (operational expenditure) pada sektor perhotelan dan restoran dalam waktu dekat",Media (Kompas),neutral
"Saat dikonfirmasi mengenai potensi kenaikan biaya operasional tersebut, Cok Ace membenarkannya secara tegas",Media (Kompas),neutral
"Pasti malah menaikkan,"" tegasnya",Media (Kompas),negative
"Menghadapi tantangan berat ini, PHRI Bali meminta para pelaku industri pariwisata untuk memutar otak",Media (Kompas),neutral
"Pengusaha hotel dan restoran diharapkan bisa melakukan efisiensi ketat serta penyesuaian harga yang bijak, tanpa harus mengorbankan kualitas pelayanan kepada wisatawan",Media (Kompas),neutral
"""Nah, ini saya lihat juga boleh ditantang kita ke depan bagaimana caranya",Media (Kompas),neutral
"Di satu sisi kita bisa menyesuaikan, tapi di sisi lain kualitas harus kita tetap jaga,"" pungkas Cok Ace",Media (Kompas),neutral
Artikel ini telah tayang di Tribun-Bali,Media (Kompas),neutral
com dengan judul Dolar AS Rp18,Media (Kompas),neutral
"000, PHRI Bali: Menguntungkan Wisatawan, tapi Bebani Operasional Hotel dan Resto JAKARTA, KOMPAS",Media (Kompas),neutral
com- Bank Indonesia (BI) melaporkan defisit transaksi berjalan atau current account deficit Indonesia melebar pada kuartal I 2026,Media (Kompas),neutral
"Defisit transaksi berjalan tercatat 4 miliar dolar Amerika Serikat (AS) atau 1,1 persen dari produk domestik bruto (PDB)",Media (Kompas),neutral
"Angka tersebut lebih tinggi dibandingkan kuartal IV 2025 yang sebesar 2,5 miliar dolar AS atau 0,7 persen dari PDB",Media (Kompas),neutral
"Direktur Eksekutif Departemen Komunikasi BI, Ramdan Denny Prakoso, mengatakan defisit transaksi berjalan tetap rendah di tengah perlambatan ekonomi global",Media (Kompas),neutral
"""Transaksi berjalan mencatat defisit yang rendah,"" ujarnya dalam keterangan tertulis, Jumat (22/5/2026)",Media (Kompas),neutral
"Baca juga: Prabowo Janji Defisit APBN 2027 Maksimal 2,4 Persen  BI menjelaskan defisit transaksi berjalan pada kuartal I 2026 disebabkan surplus neraca barang yang lebih rendah",Media (Kompas),neutral
Kondisi tersebut terjadi saat defisit neraca pendapatan jasa menyempit dan surplus neraca pendapatan sekunder tetap stabil,Media (Kompas),neutral
Neraca perdagangan barang pada kuartal I 2026 mencatat surplus 8 miliar dolar AS,Media (Kompas),neutral
"Surplus tersebut lebih rendah dibandingkan kuartal sebelumnya yang sebesar 10,2 miliar dolar AS",Media (Kompas),neutral
Penurunan ini dipengaruhi berkurangnya surplus neraca perdagangan nonmigas dan mengecilnya defisit neraca perdagangan migas,Media (Kompas),neutral
"Baca juga: Purbaya Laporkan Defisit APBN April 2026 Capai 0,64 Persen dari PDB  Ramdan mengatakan neraca perdagangan nonmigas mencatat surplus 13,3 miliar dolar AS",Media (Kompas),neutral
Angka tersebut lebih rendah dibandingkan surplus kuartal sebelumnya yang sebesar 16 miliar dolar AS,Media (Kompas),neutral
"""(Berkurangnya surplus perdagangan non-migas) sejalan dengan perlambatan pertumbuhan ekonomi global serta terganggunya rantai pasok perdagangan antarnegara,"" ucapnya",Media (Kompas),neutral
"com — Pernyataan Presiden RI Prabowo Subianto terkait masyarakat desa yang tidak menggunakan dollar mendapat tanggapan dari petani milenial asal Desa Letbaun, Kecamatan Semau, Kabupaten Kupang, Nusa Tenggara Timur (NTT), Santo Buifena",Media (Kompas),neutral
"Menurut Santo, pernyataan Presiden memang ada benarnya karena masyarakat desa masih menggunakan rupiah dalam aktivitas ekonomi sehari-hari",Media (Kompas),neutral
“Saya pikir omongan Bapak Presiden ada benarnya juga,Media (Kompas),neutral
"Masyarakat di desa, termasuk di NTT, memang tidak pegang dollar atau transaksi pakai dollar setiap hari",Media (Kompas),neutral
"Kami kerja tani, berkebun, beternak, dan jual hasil pakai rupiah,” ujar Santo kepada Kompas",Media (Kompas),neutral
"com, Senin (18/5/2026)",Media (Kompas),neutral
"Namun, Santo menilai kenaikan nilai tukar dollar AS hingga menyentuh Rp 17",Media (Kompas),neutral
"600 tetap memberikan dampak terhadap masyarakat desa, khususnya petani dan nelayan",Media (Kompas),neutral
Baca juga: Pakar Unair Jelaskan Penyebab Rupiah Melemah hingga Rp 17,Media (Kompas),neutral
"600 Menurut Santo, dampak pelemahan rupiah memang tidak dirasakan secara langsung, tetapi terasa melalui kenaikan harga berbagai kebutuhan dan biaya produksi",Media (Kompas),neutral
"“Kalau dollar naik, dampaknya tetap ada",Media (Kompas),neutral
"Harga pupuk, racun rumput, onderdil mesin, BBM, dan barang-barang dari luar biasanya ikut naik",Media (Kompas),negative
"Kalau biaya produksi naik, petani dan masyarakat desa juga pasti rasa,” katanya",Media (Kompas),positive
Ia menjelaskan masyarakat di Pulau Semau sangat bergantung pada sektor pertanian dan perikanan,Media (Kompas),neutral
Banyak petani bawang dan nelayan membutuhkan solar untuk menunjang aktivitas usaha mereka,Media (Kompas),neutral
"Namun, ketersediaan solar di wilayah tersebut disebut masih terbatas",Media (Kompas),neutral
"“Misalnya di Pulau Semau, banyak petani nelayan dan petani bawang membutuhkan solar untuk mendukung kebutuhan pertanian, tapi sulit sekali mendapatkan solar,” ujarnya",Media (Kompas),negative
"Baca juga: Peternak Ayam Petelur di Jember Menjerit Imbas Rupiah Melemah, Harga Pakan Melonjak Menurut Santo, stok solar di SPBU juga kerap terbatas karena sistem kuota",Media (Kompas),neutral
"Padahal, bahan bakar tersebut menjadi kebutuhan utama bagi petani maupun nelayan",Media (Kompas),neutral
"“Kalau petani bawang, solar dipakai untuk mesin traktor dan mesin pompa air",Media (Kompas),neutral
"Kalau nelayan, dipakai untuk perahu yang menggunakan mesin diesel,” jelasnya",Media (Kompas),neutral
"Sebagai warga desa di Semau, Santo berharap pemerintah dapat menjaga stabilitas harga kebutuhan pokok agar masyarakat kecil tidak semakin terbebani",Media (Kompas),neutral
“Kami berharap pemerintah bisa menjaga harga kebutuhan pokok tetap stabil,Media (Kompas),neutral
"Walaupun kami tinggal di desa, dampak kenaikan dollar tetap terasa",Media (Kompas),neutral
"Harga BBM, pupuk, dan barang-barang dari luar daerah bisa ikut naik,” katanya",Media (Kompas),neutral
Ia juga meminta pemerintah memahami kondisi riil masyarakat desa yang tetap terdampak fluktuasi nilai tukar dollar,Media (Kompas),neutral
"“Petani dan nelayan sangat bergantung pada solar, bensin, pupuk, dan peralatan yang harganya ikut dipengaruhi oleh nilai tukar dollar,” tutup Santo",Media (Kompas),neutral
PERNYATAAN Presiden Prabowo bahwa orang desa tidak belanja memakai dolar menyentuh satu ironi besar dalam ekonomi Indonesia,Media (Kompas),neutral
"Secara kasat mata, kalimat itu benar",Media (Kompas),neutral
"Di pasar nagari, di kios pupuk, di warung kecil, masyarakat membayar dengan rupiah",Media (Kompas),neutral
Tidak ada petani membeli beras dengan dolar,Media (Kompas),negative
Tidak ada pedagang sayur menghitung modalnya dengan kurs Bloomberg,Media (Kompas),neutral
Tetapi ekonomi tidak berhenti di meja transaksi,Media (Kompas),positive
Harga yang tampak lokal sering dibentuk oleh biaya global,Media (Kompas),neutral
Di titik inilah hilirisasi perlu dibaca lebih rasional,Media (Kompas),neutral
"Hilirisasi penting, bahkan strategis, tetapi ia tidak boleh diperlakukan sebagai mantra yang otomatis menyembuhkan semua kerentanan ekonomi",Media (Kompas),negative
"Baca juga: Membaca Kehebatan Persib yang Berpeluang Hattrick Juara Melemahnya rupiah memperlihatkan bahwa persoalan Indonesia bukan hanya menjual barang mentah, melainkan terlalu bergantung pada impor energi, bahan baku, mesin, teknologi, pupuk, pakan, obat, dan logistik",Media (Kompas),neutral
Desa memang tidak memakai dolar sebagai alat bayar,Media (Kompas),negative
"Namun selama struktur produksi nasional masih berutang pada dolar, pasar desa tetap ikut menanggung getarnya",Media (Kompas),neutral
Kesalahan terbesar dalam membaca kurs adalah menganggap dolar hanya berdampak kepada mereka yang bertransaksi langsung dengan mata uang asing,Media (Kompas),negative
"Padahal, dolar bekerja secara tidak terlihat",Media (Kompas),negative
"Ia masuk melalui harga BBM, LPG, pupuk, pestisida, pakan ternak, mesin pertanian, suku cadang kendaraan, bahan baku industri, impor pangan, hingga biaya distribusi",Media (Kompas),neutral
"Rakyat desa tidak membeli dolar, tetapi membeli barang yang ongkos produksinya terhubung dengan dolar",Media (Kompas),neutral
"Ketika rupiah melemah, importir menghadapi biaya lebih mahal",Media (Kompas),negative
Produsen berbahan baku impor menanggung tekanan,Media (Kompas),neutral
Distributor menghitung ulang ongkos logistik,Media (Kompas),neutral
Pemerintah menanggung subsidi energi yang lebih berat,Media (Kompas),neutral
"Sebagian tekanan mungkin tidak langsung muncul dalam inflasi karena ditahan subsidi, harga yang diatur, stok barang, atau lemahnya daya beli",Media (Kompas),neutral
Tetapi tekanan itu tidak hilang,Media (Kompas),positive
"Ia hanya berpindah tempat: dari konsumen ke APBN, dari produsen ke margin usaha, atau dari pasar hari ini ke harga mendatang",Media (Kompas),neutral
"Karena itu, mengatakan orang desa tidak belanja pakai dolar benar secara literal, tetapi tidak cukup secara ekonomi",Media (Kompas),negative
NILAI tukar rupiah di pertengahan Mei 2026 kembali terkapar dalam ketidakpastian yang sangat mencemaskan,Media (Kompas),neutral
Angka psikologis yang bergerak di kisaran Rp 17,Media (Kompas),neutral
"600 per dolar AS menjadi representasi nyata dari rapuhnya stabilitas ekonomi domestik kita, melampaui sekadar angka kuantitatif di layar monitor pasar valuta asing",Media (Kompas),neutral
"Ketika harga barang impor melonjak tajam dan biaya logistik merangkak naik, kecemasan kolektif segera menyergap seluruh lapisan masyarakat, memicu pertanyaan mendasar yang selalu berulang mengenai penyebab rapuhnya mata uang garuda",Media (Kompas),neutral
"Guncangan moneter tersebut sering kali ditudingkan pada faktor eksternal, seperti kebijakan bank sentral Amerika Serikat yang mempertahankan suku bunga tinggi, hingga eskalasi geopolitik di Selat Hormuz yang melambungkan harga minyak dunia secara signifikan",Media (Kompas),neutral
"Namun, menyalahkan dinamika global secara terus-menerus adalah bentuk ketidakberdayaan ekonomi yang akut dan tidak produktif",Media (Kompas),negative
Masalah fundamentalnya justru terletak pada ketergantungan mutlak struktur keuangan domestik terhadap sistem fiat global yang sama sekali tidak berjangkar pada aset riil,Media (Kompas),neutral
Ulasan strategis berikut bermaksud menggugat paradigma pengelolaan devisa nasional yang dirasa terlalu kertas-sentris selama beberapa dekade terakhir,Media (Kompas),neutral
"Di tengah ketidakpastian makroekonomi, kita perlu menengok kembali potensi kekayaan riil di bawah Tanah Air sendiri",Media (Kompas),neutral
"Baca juga: Persib dan Seni Menjaga Sense of Belonging di Era Sepak Bola Modern Pertemuan antara melemahnya nilai tukar dan melimpahnya kekayaan geologis berupa emas menuntut sebuah reorientasi strategi moneter yang radikal, mandiri, sekaligus memberikan solusi konkret bagi masa depan ekonomi bangsa secara berkelanjutan",Media (Kompas),neutral
"Untuk memahami mengapa rupiah begitu mudah diombang-ambingkan oleh keperkasaan dolar, kita harus menengok sejarah panjang pada Agustus 1971",Media (Kompas),negative
"Dinukil dari catatan sejarah moneter global, peristiwa Nixon Shock menjadi titik balik krusial ketika Amerika Serikat secara sepihak mengakhiri sistem konvertibilitas dolar ke emas",Media (Kompas),neutral
"Sejak momen bersejarah tersebut, tata keuangan dunia resmi beralih penuh ke sistem uang fiat murni, sebuah tatanan di mana nilai mata uang tidak lagi dijamin komoditas fisik, melainkan murni oleh kepercayaan pasar",Media (Kompas),neutral
Penghapusan jangkar fisik tersebut membuka keran bagi inflasi global yang persisten dan sulit dikendalikan oleh negara berkembang,Media (Kompas),neutral
"Tanpa batasan cadangan emas, bank sentral global dapat mencetak likuiditas tanpa kendali nyata yang membatasi ruang gerak mereka",Media (Kompas),neutral
"Ketika Bank Sentral AS mengekspor dolar ke seluruh penjuru dunia melalui pelonggaran kuantitatif, perekonomian nasional terpaksa ikut terseret dalam ombak likuiditas tersebut",Media (Kompas),neutral
com - Pengusaha tempe rumahan di Kota Semarang mengeluhkan kenaikan harga kedelai impor akibat dampak penguatan dolar AS terhadap rupiah,Media (Kompas),neutral
"Adip Muharam, salah satu produsen tempe mengatakan, harga kedelai mengalami kenaikan signifikan sejak awal 2026",Media (Kompas),neutral
"Ia mengakui dampak pelemahan rupiah pada dollar dirasakan, karena mayoritas kedelai yang digunakan produsen tempe masih bergantung pada impor",Media (Kompas),neutral
"Alhasil, harga bahan baku terus naik dari waktu ke waktu",Media (Kompas),positive
"""Kalau bisa ya pemerintah itu ya ditekanlah dolarnya itu kan",Media (Kompas),negative
Bukan masalah kita orang desa atau orang kota ya,Media (Kompas),negative
"Kita kan juga apa namanya produsen itu kan bergantung juga sama impor,"" ujar Adip saat ditemui di rumah produksi di Pandean Lamper, Gayamsari, Selasa (19/5/2026)",Media (Kompas),neutral
